Set No,Sentence 1 (Similar),Sentence 2 (Similar),Sentence 3 (Different)
26,26. set: Köpek masanın üstünde oturuyor.,26. set (benzer): Köpek masanın üstünde oturuyor.,26. set: Köpek markette alışveriş yapıyor.
27,27. set: Çocuk televizyon izliyor.,27. set: Çocuk film izliyor.,27. set: Çocuk sinemada film izliyor.
28,28. set: Ayşe televizyon izliyor.,28. set: Ayşe film izliyor.,28. set: Ayşe denizde yüzüyor.
29,29. set: Ali kitap okuyor.,29. set: Ali dergi okuyor.,29. set: Ali denizde yüzüyor.
30,30. set: Kadın kitap okuyor.,30. set: Kadın dergi okuyor.,30. set: Kadın bisiklet sürüyor.
31,31. set: Kedi bahçede dolaşıyor.,31. set: Kedi bahçede oynuyor.,31. set: Kedi bisiklet sürüyor.
32,32. set: Çocuk bahçede dolaşıyor.,32. set: Çocuk bahçede oynuyor.,32. set: Çocuk markette alışveriş yapıyor.
33,33. set: Kadın televizyon izliyor.,33. set: Kadın film izliyor.,33. set: Kadın bisiklet sürüyor.
34,34. set: Köpek yemek yiyor.,34. set: Köpek yemek hazırlıyor.,34. set: Köpek dağda kamp yapıyor.
35,35. set: Fatma masanın üstünde oturuyor.,35. set (benzer): Fatma masanın üstünde oturuyor.,35. set: Fatma parkta koşuyor.
36,36. set: Kadın yemek yiyor.,36. set: Kadın yemek hazırlıyor.,36. set: Kadın sinemada film izliyor.
37,37. set: Fatma bahçede dolaşıyor.,37. set: Fatma bahçede oynuyor.,37. set: Fatma dağda kamp yapıyor.
38,38. set: Kedi bahçede dolaşıyor.,38. set: Kedi bahçede oynuyor.,38. set: Kedi sinemada film izliyor.
39,39. set: Fatma televizyon izliyor.,39. set: Fatma film izliyor.,39. set: Fatma markette alışveriş yapıyor.
40,40. set: Kedi yemek yiyor.,40. set: Kedi yemek hazırlıyor.,40. set: Kedi kahve içiyor.
41,41. set: Ahmet masanın üstünde oturuyor.,41. set (benzer): Ahmet masanın üstünde oturuyor.,41. set: Ahmet sinemada film izliyor.
42,42. set: Kadın yemek yiyor.,42. set: Kadın yemek hazırlıyor.,42. set: Kadın sinemada film izliyor.
43,43. set: Köpek yemek yiyor.,43. set: Köpek yemek hazırlıyor.,43. set: Köpek bisiklet sürüyor.
44,44. set: Kadın masanın üstünde oturuyor.,44. set (benzer): Kadın masanın üstünde oturuyor.,44. set: Kadın denizde yüzüyor.
45,45. set: Ali bahçede dolaşıyor.,45. set: Ali bahçede oynuyor.,45. set: Ali parkta koşuyor.
46,46. set: Kadın masanın üstünde oturuyor.,46. set (benzer): Kadın masanın üstünde oturuyor.,46. set: Kadın denizde yüzüyor.
47,47. set: Kadın kitap okuyor.,47. set: Kadın dergi okuyor.,47. set: Kadın markette alışveriş yapıyor.
48,48. set: Ahmet televizyon izliyor.,48. set: Ahmet film izliyor.,48. set: Ahmet parkta koşuyor.
49,49. set: Adam masanın üstünde oturuyor.,49. set (benzer): Adam masanın üstünde oturuyor.,49. set: Adam parkta koşuyor.
50,50. set: Ahmet kitap okuyor.,50. set: Ahmet dergi okuyor.,50. set: Ahmet bisiklet sürüyor.
